Nr;Regular;Triangulation;GKZ;Neighbors;regular Neighbors;non-regular Neighbors;F-Vector
30106;0;{0 10 12 14 15}{3 9 10 11 15}{0 6 12 14 15}{0 10 12 13 15}{0 9 10 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 4 6 12 13}{0 9 10 12 13}{0 1 9 10 15}{0 1 3 10 15}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15}{1 3 9 10 15};20 8 2 9 2 6 11 2 1 8 11 1 7 8 6 18;12;1;11;16 65 110 84 24
30122;0;{0 5 6 7 15}{0 10 12 14 15}{0 3 6 7 15}{0 6 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{0 10 12 13 15}{0 9 10 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 4 6 12 13}{0 9 10 12 13}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15};22 6 2 9 2 7 9 3 1 7 11 2 7 8 6 18;12;1;11;16 65 110 84 24
30124;0;{0 10 12 14 15}{0 6 12 14 15}{0 1 3 5 15}{0 10 12 13 15}{0 9 10 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 4 6 12 13}{0 9 10 12 13}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{3 5 6 7 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 5 6 15};21 6 2 10 2 8 10 1 1 7 11 2 7 8 6 18;12;1;11;16 64 107 81 23
30125;0;{0 1 3 11 15}{0 1 9 11 15}{0 9 10 11 15}{0 10 12 14 15}{0 3 10 11 15}{0 6 12 14 15}{0 10 12 13 15}{0 9 10 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 1 3 6 15}{0 1 5 6 15}{0 4 6 12 13}{0 9 10 12 13}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{3 5 6 7 15}{1 3 5 6 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15};22 6 2 9 2 7 11 1 1 7 9 4 7 8 6 18;12;1;11;16 64 107 81 23
30126;0;{0 10 12 14 15}{0 6 12 14 15}{0 10 12 13 15}{0 9 10 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 1 3 6 15}{0 1 5 6 15}{0 4 6 12 13}{0 9 10 12 13}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{3 5 6 7 15}{1 3 5 6 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15};20 8 2 9 2 7 11 1 1 7 11 2 7 8 6 18;12;1;11;16 65 110 84 24
30182;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 6 7 15}{0 2 10 11 15}{0 9 10 11 15}{0 5 6 7 15}{0 6 10 14 15}{0 2 6 10 15}{0 9 10 14 15}{0 9 12 14 15}{5 9 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{1 5 9 12 15}{0 9 10 12 14}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 5 5 6 2 10 6 4 1 10 7 4 9 1 8 20;13;2;11;16 65 110 84 24
30425;0;{0 2 6 14 15}{0 2 10 14 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{3 5 6 7 15}{1 3 5 6 15};20 8 4 8 2 9 8 1 2 6 6 6 11 2 7 20;12;2;10;16 65 110 84 24
30493;0;{0 2 6 14 15}{0 2 10 14 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{5 9 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{0 1 5 12 15}{1 5 9 12 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};20 8 4 7 2 9 8 2 2 7 6 6 11 1 7 20;12;1;11;16 65 110 84 24
31125;0;{0 2 3 11 15}{0 1 3 11 15}{0 2 3 7 15}{0 2 6 7 15}{0 2 10 11 15}{0 1 9 11 15}{0 9 10 11 15}{0 5 6 7 15}{0 6 10 14 15}{0 2 6 10 15}{0 9 10 14 15}{0 9 12 14 15}{0 4 5 6 12}{0 1 3 5 15}{0 3 5 7 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 9 10 12 14}{0 5 12 14 15}{0 5 6 14 15}{0 5 6 12 14};22 7 5 5 1 9 7 4 1 8 7 5 10 2 7 20;12;3;9;16 65 110 84 24
31126;0;{0 2 3 11 15}{0 1 3 11 15}{0 2 10 11 15}{0 1 9 11 15}{0 9 10 11 15}{0 6 10 14 15}{0 2 6 10 15}{0 9 10 14 15}{0 9 12 14 15}{0 4 5 6 12}{0 1 3 5 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 9 10 12 14}{0 5 12 14 15}{0 5 6 14 15}{2 5 6 7 15}{0 2 5 6 15}{2 3 5 7 15}{0 2 3 5 15}{0 5 6 12 14};20 7 7 5 1 11 7 2 1 8 7 5 10 2 7 20;12;2;10;16 65 110 84 24
31824;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{3 9 10 11 15}{0 6 7 12 14}{0 1 9 10 15}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14}{1 3 9 10 15};22 6 3 8 2 6 3 10 1 8 11 1 10 5 8 16;11;3;8;16 64 107 81 23
31900;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{0 6 7 12 14}{0 1 9 10 15}{1 9 10 11 15}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};22 6 3 8 2 7 3 9 1 7 11 2 10 5 8 16;11;3;8;16 65 110 84 24
32048;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{3 9 10 11 15}{0 6 7 12 14}{0 1 9 10 15}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14}{1 3 9 10 15};22 5 3 9 2 7 3 9 1 8 11 1 10 5 8 16;11;3;8;16 64 107 81 23
32530;0;{0 1 9 11 15}{0 1 5 7 15}{0 1 3 11 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 9 10 11 15}{0 5 12 13 15}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{0 6 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};24 5 3 7 2 6 3 10 1 7 9 4 10 5 8 16;11;4;7;16 65 110 84 24
32531;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{0 6 7 12 14}{0 1 9 10 15}{1 9 10 11 15}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};22 7 3 7 2 6 3 10 1 7 11 2 10 5 8 16;11;3;8;16 65 110 84 24
32550;0;{0 1 9 11 15}{0 1 5 7 15}{0 1 3 11 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 9 10 11 15}{0 5 12 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{0 6 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 3 6 7 14}{0 9 10 12 13}{0 5 7 12 15}{0 2 3 6 14}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15};24 5 2 8 2 6 4 9 1 7 9 4 10 5 8 16;11;2;9;16 65 110 84 24
32551;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{0 6 7 12 14}{0 1 9 10 15}{1 9 10 11 15}{0 7 12 14 15}{0 8 9 10 12}{0 3 6 7 14}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 2 3 6 14}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15};22 7 2 8 2 6 4 9 1 7 11 2 10 5 8 16;11;1;10;16 65 110 84 24
32561;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{3 9 10 11 15}{0 6 7 12 14}{0 1 9 10 15}{0 7 12 14 15}{0 8 9 10 12}{0 3 6 7 14}{0 1 3 10 15}{0 9 10 12 13}{0 5 7 12 15}{0 2 3 6 14}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{1 3 9 10 15};22 6 2 9 2 6 4 9 1 8 11 1 10 5 8 16;11;1;10;16 64 107 81 23
32570;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{0 6 7 12 14}{0 1 9 10 15}{1 9 10 11 15}{0 7 12 14 15}{0 8 9 10 12}{0 3 6 7 14}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 2 3 6 14}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15};22 6 2 9 2 7 4 8 1 7 11 2 10 5 8 16;11;1;10;16 65 110 84 24
32586;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 6 7 12}{0 4 5 7 12}{3 9 10 11 15}{0 6 7 12 14}{0 1 9 10 15}{0 7 12 14 15}{0 8 9 10 12}{0 3 6 7 14}{0 1 3 10 15}{0 9 10 12 13}{0 5 7 12 15}{0 2 3 6 14}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{1 3 9 10 15};22 5 2 10 2 7 4 8 1 8 11 1 10 5 8 16;11;1;10;16 64 107 81 23
36845;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 4 6 7 14}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{3 9 10 11 15}{0 1 9 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14}{1 3 9 10 15};22 6 3 8 3 6 2 10 1 8 11 1 9 5 9 16;13;3;10;16 64 107 81 23
36846;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{3 9 10 11 15}{2 4 6 7 14}{0 2 4 7 14}{0 1 9 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14}{1 3 9 10 15};21 6 4 8 4 6 1 10 1 8 11 1 9 5 9 16;11;3;8;16 65 110 84 24
36898;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 4 6 7 14}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{0 1 9 10 15}{1 9 10 11 15}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};22 6 3 8 3 7 2 9 1 7 11 2 9 5 9 16;13;5;8;16 65 110 84 24
36900;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{2 4 6 7 14}{0 2 4 7 14}{0 1 9 10 15}{1 9 10 11 15}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};21 6 4 8 4 7 1 9 1 7 11 2 9 5 9 16;11;5;6;16 65 110 84 24
36960;0;{0 1 9 11 15}{0 1 5 7 15}{0 1 3 11 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 9 10 11 15}{0 5 12 13 15}{0 4 6 7 14}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};24 5 3 7 3 6 2 10 1 7 9 4 9 5 9 16;13;4;9;16 65 110 84 24
36961;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 4 6 7 14}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{0 1 9 10 15}{1 9 10 11 15}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};22 7 3 7 3 6 2 10 1 7 11 2 9 5 9 16;13;3;10;16 65 110 84 24
36962;0;{0 1 9 11 15}{0 1 5 7 15}{0 1 3 11 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 9 10 11 15}{0 5 12 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{2 4 6 7 14}{0 2 4 7 14}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};23 5 4 7 4 6 1 10 1 7 9 4 9 5 9 16;11;4;7;16 65 110 84 24
36963;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 4 5 7 12}{2 4 6 7 14}{0 2 4 7 14}{0 1 9 10 15}{1 9 10 11 15}{0 4 7 12 14}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};21 7 4 7 4 6 1 10 1 7 11 2 9 5 9 16;11;3;8;16 65 110 84 24
37119;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{5 9 12 13 15}{0 2 7 10 14}{0 5 6 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 4 5 6 14}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 7 10 14 15}{0 3 7 10 15};22 6 3 6 2 9 3 9 1 8 9 5 11 1 9 16;11;1;10;16 64 107 81 23
37282;0;{0 10 12 14 15}{0 3 10 11 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 2 7 10 14}{0 5 6 7 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 4 5 6 14}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 7 10 14 15}{0 3 7 10 15};22 6 3 7 2 9 3 8 1 7 9 5 11 2 9 16;11;3;8;16 65 110 84 24
37332;0;{0 10 12 14 15}{0 3 10 11 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{5 9 12 13 15}{0 2 7 10 14}{0 5 6 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 4 5 6 14}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 7 10 14 15}{0 3 7 10 15};22 5 3 7 2 10 3 8 1 8 9 5 11 1 9 16;11;3;8;16 64 107 81 23
37411;0;{0 1 5 7 15}{0 1 9 13 15}{0 1 5 13 15}{0 1 3 7 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 5 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 2 7 10 14}{0 5 6 7 14}{0 8 9 10 12}{0 4 5 6 14}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 7 10 14 15}{0 3 7 10 15};24 5 3 6 2 8 3 9 1 7 9 5 9 4 9 16;11;2;9;16 65 110 84 24
37412;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 2 7 10 14}{0 5 6 7 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 4 5 6 14}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 7 10 14 15}{0 3 7 10 15};22 7 3 6 2 8 3 9 1 7 9 5 11 2 9 16;11;1;10;16 65 110 84 24
37810;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 4 5 6 12}{5 9 12 13 15}{0 2 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{1 5 9 12 15}{0 7 10 14 15}{0 3 7 10 15};22 6 3 6 1 9 4 9 1 8 9 5 12 1 8 16;11;2;9;16 64 107 81 23
37847;0;{0 10 12 14 15}{0 3 10 11 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 4 5 6 12}{0 2 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 7 10 14 15}{0 3 7 10 15};22 6 3 7 1 9 4 8 1 7 9 5 12 2 8 16;11;4;7;16 65 110 84 24
37909;0;{0 10 12 14 15}{0 3 10 11 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 4 5 6 12}{5 9 12 13 15}{0 2 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{1 5 9 12 15}{0 7 10 14 15}{0 3 7 10 15};22 5 3 7 1 10 4 8 1 8 9 5 12 1 8 16;11;4;7;16 64 107 81 23
37977;0;{0 1 5 7 15}{0 1 9 13 15}{0 1 5 13 15}{0 1 3 7 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 5 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 4 5 6 12}{0 2 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 7 10 14 15}{0 3 7 10 15};24 5 3 6 1 8 4 9 1 7 9 5 10 4 8 16;11;3;8;16 65 110 84 24
37978;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 14}{0 2 3 7 10}{0 4 5 6 12}{0 2 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 7 10 14 15}{0 3 7 10 15};22 7 3 6 1 8 4 9 1 7 9 5 12 2 8 16;11;2;9;16 65 110 84 24
37998;0;{0 1 5 7 15}{0 1 9 13 15}{0 1 5 13 15}{0 1 3 7 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 5 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 10}{0 2 3 7 10}{0 4 5 6 12}{0 6 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 7 10 14 15}{0 3 7 10 15};24 5 2 6 1 8 5 9 1 7 10 5 10 4 7 16;11;3;8;16 65 110 84 24
37999;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 10}{0 2 3 7 10}{0 4 5 6 12}{0 6 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 7 10 14 15}{0 3 7 10 15};22 7 2 6 1 8 5 9 1 7 10 5 12 2 7 16;11;2;9;16 65 110 84 24
38002;0;{0 1 5 7 15}{0 1 3 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 10}{0 2 3 7 10}{0 4 5 6 12}{5 9 12 13 15}{0 6 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{1 5 9 12 15}{0 7 10 14 15}{0 3 7 10 15};22 6 2 6 1 9 5 9 1 8 10 5 12 1 7 16;11;2;9;16 64 107 81 23
38023;0;{0 10 12 14 15}{0 3 10 11 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 10}{0 2 3 7 10}{0 4 5 6 12}{0 6 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 7 10 14 15}{0 3 7 10 15};22 6 2 7 1 9 5 8 1 7 10 5 12 2 7 16;11;2;9;16 65 110 84 24
38027;0;{0 10 12 14 15}{0 3 10 11 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 2 6 7 10}{0 2 3 7 10}{0 4 5 6 12}{5 9 12 13 15}{0 6 7 10 14}{0 5 6 12 14}{0 5 6 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 7 14 15}{0 9 10 11 12}{0 5 12 14 15}{1 5 9 12 15}{0 7 10 14 15}{0 3 7 10 15};22 5 2 7 1 10 5 8 1 8 10 5 12 1 7 16;11;2;9;16 64 107 81 23
46083;0;{0 2 3 7 15}{0 2 10 14 15}{0 4 5 7 12}{0 2 7 14 15}{0 2 3 10 15}{0 9 10 14 15}{0 9 12 14 15}{5 9 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{2 4 6 7 14}{0 2 4 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 7 12 15}{1 5 9 12 15}{0 9 10 12 14}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 7 12 14}{0 7 12 14 15};19 8 6 6 4 7 1 9 1 9 9 2 11 1 9 18;12;4;8;16 65 110 84 24
