Nr;Regular;Triangulation;GKZ;Neighbors;regular Neighbors;non-regular Neighbors;F-Vector
3535;0;{0 2 3 11 15}{0 1 5 13 15}{0 2 10 11 15}{0 1 9 13 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 6 10 14 15}{0 2 6 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 7 4 6 2 8 9 2 2 6 6 7 9 4 6 20;12;1;11;16 65 110 84 24
3536;0;{0 2 3 11 15}{0 2 10 11 15}{0 10 12 14 15}{0 2 3 6 15}{0 6 10 14 15}{0 2 6 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};20 9 4 6 2 8 9 2 2 6 6 7 11 2 6 20;12;1;11;16 65 110 84 24
3538;0;{0 2 3 11 15}{0 2 10 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 6 10 14 15}{0 2 6 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 6 4 6 2 9 9 2 2 7 6 7 9 3 6 20;12;1;11;16 65 110 84 24
3540;0;{0 2 3 11 15}{0 2 10 11 15}{0 10 12 14 15}{0 2 3 6 15}{0 6 10 14 15}{0 2 6 10 15}{5 9 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{0 5 9 12 15};21 6 4 6 2 10 9 2 2 8 6 7 10 1 6 20;12;1;11;16 64 107 81 23
3571;0;{0 2 6 14 15}{0 1 5 13 15}{0 2 10 14 15}{0 1 9 13 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 7 4 7 2 8 8 2 2 6 6 6 9 4 7 20;12;1;11;16 65 110 84 24
3572;0;{0 2 6 14 15}{0 2 10 14 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};20 9 4 7 2 8 8 2 2 6 6 6 11 2 7 20;12;1;11;16 65 110 84 24
3601;0;{0 2 6 14 15}{0 1 5 13 15}{0 2 10 14 15}{0 1 9 13 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{3 5 6 7 15}{1 3 5 6 15};22 6 4 8 2 9 8 1 2 6 6 6 9 4 7 20;12;2;10;16 65 110 84 24
3938;0;{0 10 12 14 15}{0 5 12 13 15}{3 9 10 11 15}{0 8 10 12 13}{0 8 9 10 13}{0 10 12 13 15}{0 9 10 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 1 3 6 15}{0 1 5 6 15}{0 1 9 10 15}{0 1 3 10 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{3 5 6 7 15}{1 3 5 6 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15}{1 3 9 10 15};20 7 2 10 2 10 8 1 2 7 11 1 6 6 9 18;12;2;10;16 65 110 84 24
4030;0;{0 1 3 7 15}{0 1 9 13 15}{0 4 6 7 12}{0 10 12 14 15}{0 3 6 7 15}{0 2 3 6 15}{0 6 10 14 15}{0 2 6 10 15}{0 1 7 13 15}{3 9 10 11 15}{0 6 12 14 15}{0 1 3 9 15}{0 8 10 12 13}{0 8 9 10 13}{0 10 12 13 15}{0 9 10 13 15}{1 4 5 7 13}{0 1 4 7 13}{0 4 7 12 13}{0 6 7 12 15}{0 7 12 13 15}{2 3 9 10 15}{0 2 9 10 15}{0 2 3 9 15};21 6 5 7 4 1 7 9 2 8 10 1 8 10 3 18;12;4;8;16 63 104 78 22
4031;0;{0 1 3 7 15}{0 1 9 13 15}{0 4 6 7 12}{0 3 6 7 15}{0 2 3 6 15}{6 10 12 14 15}{0 2 6 10 15}{0 1 7 13 15}{3 9 10 11 15}{0 1 3 9 15}{0 8 10 12 13}{0 8 9 10 13}{0 10 12 13 15}{0 9 10 13 15}{1 4 5 7 13}{0 1 4 7 13}{0 4 7 12 13}{0 6 10 12 15}{0 6 7 12 15}{0 7 12 13 15}{2 3 9 10 15}{0 2 9 10 15}{0 2 3 9 15};20 6 5 7 4 1 8 9 2 8 11 1 9 10 1 18;12;4;8;16 65 110 84 24
